GO:0000304	response to singlet oxygen
GO:0043308	eosinophil degranulation
GO:0043310	negative regulation of eosinophil degranulation
GO:0043311	positive regulation of eosinophil degranulation
GO:0043312	neutrophil degranulation
GO:0043313	regulation of neutrophil degranulation
GO:0043314	negative regulation of neutrophil degranulation
GO:0043315	positive regulation of neutrophil degranulation
GO:0043316	cytotoxic T cell degranulation
GO:0043318	negative regulation of cytotoxic T cell degranulation
GO:0043366	beta selection
GO:0043367	CD4-positive, alpha-beta T cell differentiation
GO:0043368	positive T cell selection
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment
GO:0043374	CD8-positive, alpha-beta T cell differentiation
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043379	memory T cell differentiation
GO:0043380	regulation of memory T cell differentiation
GO:0043381	negative regulation of memory T cell differentiation
GO:0043382	positive regulation of memory T cell differentiation
GO:0043383	negative T cell selection
GO:0044194	cytolytic granule
GO:0044342	type B pancreatic cell proliferation
GO:0044546	NLRP3 inflammasome complex assembly
GO:0044565	dendritic cell proliferation
GO:0045058	T cell selection
GO:0045059	positive thymic T cell selection
GO:0045060	negative thymic T cell selection
GO:0045061	thymic T cell selection
GO:0045062	extrathymic T cell selection
GO:0045063	T-helper 1 cell differentiation
GO:0045064	T-helper 2 cell differentiation
GO:0045065	cytotoxic T cell differentiation
GO:0045066	regulatory T cell differentiation
GO:0045087	innate immune response
GO:0045088	regulation of innate immune response
GO:0045089	positive regulation of innate immune response
GO:0045123	cellular extravasation
GO:0045148	tripeptide aminopeptidase activity
GO:0045190	isotype switching
GO:0045210	FasL biosynthetic process
GO:0045321	leukocyte activation
GO:0045446	endothelial cell differentiation
GO:0045575	basophil activation
GO:0045576	mast cell activation
GO:0045577	regulation of B cell differentiation
GO:0045578	negative regulation of B cell differentiation
GO:0045579	positive regulation of B cell differentiation
GO:0045580	regulation of T cell differentiation
GO:0045581	negative regulation of T cell differentiation
GO:0045582	positive regulation of T cell differentiation
GO:0045584	negative regulation of cytotoxic T cell differentiation
GO:0045585	positive regulation of cytotoxic T cell differentiation
GO:0045586	regulation of gamma-delta T cell differentiation
GO:0045588	positive regulation of gamma-delta T cell differentiation
GO:0045589	regulation of regulatory T cell differentiation
GO:0045590	negative regulation of regulatory T cell differentiation
GO:0045591	positive regulation of regulatory T cell differentiation
GO:0045619	regulation of lymphocyte differentiation
GO:0045620	negative regulation of lymphocyte differentiation
GO:0045621	positive regulation of lymphocyte differentiation
GO:0045622	regulation of T-helper cell differentiation
GO:0045623	negative regulation of T-helper cell differentiation
GO:0045624	positive regulation of T-helper cell differentiation
GO:0045625	regulation of T-helper 1 cell differentiation
GO:0045626	negative regulation of T-helper 1 cell differentiation
GO:0045627	positive regulation of T-helper 1 cell differentiation
GO:0045629	negative regulation of T-helper 2 cell differentiation
GO:0045630	positive regulation of T-helper 2 cell differentiation
GO:0045645	positive regulation of eosinophil differentiation
GO:0045650	negative regulation of macrophage differentiation
GO:0045651	positive regulation of macrophage differentiation
GO:0045655	regulation of monocyte differentiation
GO:0045656	negative regulation of monocyte differentiation
GO:0045657	positive regulation of monocyte differentiation
GO:0045659	negative regulation of neutrophil differentiation
GO:0045660	positive regulation of neutrophil differentiation
GO:0045728	respiratory burst after phagocytosis
GO:0045824	negative regulation of innate immune response
GO:0046006	regulation of activated T cell proliferation
GO:0046007	negative regulation of activated T cell proliferation
GO:0046013	regulation of T cell homeostatic proliferation
GO:0046014	negative regulation of T cell homeostatic proliferation
GO:0046469	platelet activating factor metabolic process
GO:0046629	gamma-delta T cell activation
GO:0046631	alpha-beta T cell activation
GO:0046632	alpha-beta T cell differentiation
GO:0046633	alpha-beta T cell proliferation
GO:0046635	positive regulation of alpha-beta T cell activation
GO:0046636	negative regulation of alpha-beta T cell activation
GO:0046637	regulation of alpha-beta T cell differentiation
GO:0046638	positive regulation of alpha-beta T cell differentiation
GO:0046639	negative regulation of alpha-beta T cell differentiation
GO:0046641	positive regulation of alpha-beta T cell proliferation
GO:0046642	negative regulation of alpha-beta T cell proliferation
GO:0046649	lymphocyte activation
GO:0046651	lymphocyte proliferation
GO:0046696	lipopolysaccharide receptor complex
GO:0048245	eosinophil chemotaxis
GO:0048246	macrophage chemotaxis
GO:0048247	lymphocyte chemotaxis
GO:0048289	isotype switching to IgE isotypes
GO:0048290	isotype switching to IgA isotypes
GO:0048291	isotype switching to IgG isotypes
GO:0048534	hematopoietic or lymphoid organ development
GO:0048535	lymph node development
GO:0048536	spleen development
GO:0048537	mucosa-associated lymphoid tissue development
GO:0048538	thymus development
GO:0048541	Peyer's patch development
GO:0050671	positive regulation of lymphocyte proliferation
GO:0050672	negative regulation of lymphocyte proliferation
GO:0050689	negative regulation of defense response to virus by host
GO:0050727	regulation of inflammatory response
GO:0050728	negative regulation of inflammatory response
GO:0050729	positive regulation of inflammatory response
GO:0050776	regulation of immune response
GO:0050777	negative regulation of immune response
GO:0050778	positive regulation of immune response
GO:0050798	activated T cell proliferation
GO:0050851	antigen receptor-mediated signaling pathway
GO:0050852	T cell receptor signaling pathway
GO:0050853	B cell receptor signaling pathway
GO:0050855	regulation of B cell receptor signaling pathway
GO:0050856	regulation of T cell receptor signaling pathway
GO:0050857	positive regulation of antigen receptor-mediated signaling pathway
GO:0050859	negative regulation of B cell receptor signaling pathway
GO:0050860	negative regulation of T cell receptor signaling pathway
GO:0050861	positive regulation of B cell receptor signaling pathway
GO:0050862	positive regulation of T cell receptor signaling pathway
GO:0050863	regulation of T cell activation
GO:0050864	regulation of B cell activation
GO:0050868	negative regulation of T cell activation
GO:0050869	negative regulation of B cell activation
GO:0050870	positive regulation of T cell activation
GO:0050871	positive regulation of B cell activation
GO:0050900	leukocyte migration
GO:0050901	leukocyte tethering or rolling
GO:0050902	leukocyte adhesive activation
GO:0050904	diapedesis
GO:0051132	NK T cell activation
GO:0051134	negative regulation of NK T cell activation
GO:0051135	positive regulation of NK T cell activation
GO:0051136	regulation of NK T cell differentiation
GO:0051138	positive regulation of NK T cell differentiation
GO:0051141	negative regulation of NK T cell proliferation
GO:0051142	positive regulation of NK T cell proliferation
GO:0051249	regulation of lymphocyte activation
GO:0051250	negative regulation of lymphocyte activation
GO:0051251	positive regulation of lymphocyte activation
GO:0051384	response to glucocorticoid
GO:0051412	response to corticosterone
GO:0051525	NFAT protein binding
GO:0060097	cytoskeletal rearrangement involved in phagocytosis, engulfment
GO:0060100	positive regulation of phagocytosis, engulfment
GO:0060101	negative regulation of phagocytosis, engulfment
GO:0060128	corticotropin hormone secreting cell differentiation
GO:0060129	thyroid-stimulating hormone-secreting cell differentiation
GO:0060216	definitive hemopoiesis
GO:0060264	regulation of respiratory burst involved in inflammatory response
GO:0060265	positive regulation of respiratory burst involved in inflammatory response
GO:0060266	negative regulation of respiratory burst involved in inflammatory response
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
GO:0060330	regulation of response to type II interferon
GO:0060332	positive regulation of response to type II interferon
GO:0060333	type II interferon-mediated signaling pathway
GO:0060334	regulation of type II interferon-mediated signaling pathway
GO:0060335	positive regulation of type II interferon-mediated signaling pathway
GO:0060336	negative regulation of type II interferon-mediated signaling pathway
GO:0060370	susceptibility to T cell mediated cytotoxicity
GO:0060374	mast cell differentiation
GO:0060375	regulation of mast cell differentiation
GO:0060376	positive regulation of mast cell differentiation
GO:0060377	negative regulation of mast cell differentiation
GO:0060426	lung vasculature development
GO:0060708	spongiotrophoblast differentiation
GO:0060753	regulation of mast cell chemotaxis
GO:0060754	positive regulation of mast cell chemotaxis
GO:0060755	negative regulation of mast cell chemotaxis
GO:0060836	lymphatic endothelial cell differentiation
GO:0060838	lymphatic endothelial cell fate commitment
GO:0060854	branching involved in lymph vessel morphogenesis
GO:0060907	positive regulation of macrophage cytokine production
GO:0061078	positive regulation of prostaglandin secretion involved in immune response
GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response
GO:0061146	Peyer's patch morphogenesis
GO:0061154	endothelial tube morphogenesis
GO:0061469	regulation of type B pancreatic cell proliferation
GO:0061470	T follicular helper cell differentiation
GO:0061485	memory T cell proliferation
GO:0061516	monocyte proliferation
GO:0061519	macrophage homeostasis
GO:0061702	canonical inflammasome complex
GO:0061756	leukocyte adhesion to vascular endothelial cell
GO:0061757	leukocyte adhesion to arterial endothelial cell
GO:0061760	antifungal innate immune response
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0062081	activating MHC class Ib receptor activity
GO:0062082	HLA-E specific inhibitory MHC class Ib receptor activity
GO:0062167	complement component C1q complex
GO:0070227	lymphocyte apoptotic process
GO:0070228	regulation of lymphocyte apoptotic process
GO:0070229	negative regulation of lymphocyte apoptotic process
GO:0070230	positive regulation of lymphocyte apoptotic process
GO:0070231	T cell apoptotic process
GO:0070232	regulation of T cell apoptotic process
GO:0070233	negative regulation of T cell apoptotic process
GO:0070234	positive regulation of T cell apoptotic process
GO:0070235	regulation of activation-induced cell death of T cells
GO:0070236	negative regulation of activation-induced cell death of T cells
GO:0070237	positive regulation of activation-induced cell death of T cells
GO:0070242	thymocyte apoptotic process
GO:0070243	regulation of thymocyte apoptotic process
GO:0070244	negative regulation of thymocyte apoptotic process
GO:0070245	positive regulation of thymocyte apoptotic process
GO:0070254	mucus secretion
GO:0070266	necroptotic process
GO:0070486	leukocyte aggregation
GO:0070487	monocyte aggregation
GO:0070488	neutrophil aggregation
GO:0070489	T cell aggregation
GO:0070513	death domain binding
GO:0070661	leukocyte proliferation
GO:0070662	mast cell proliferation
GO:0070663	regulation of leukocyte proliferation
GO:0070664	negative regulation of leukocyte proliferation
GO:0070665	positive regulation of leukocyte proliferation
GO:0070666	regulation of mast cell proliferation
GO:0070667	negative regulation of mast cell proliferation
GO:0070668	positive regulation of mast cell proliferation
GO:0070701	mucus layer
GO:0070820	tertiary granule
GO:0070892	lipoteichoic acid immune receptor activity
GO:0070944	neutrophil-mediated killing of bacterium
GO:0070945	neutrophil-mediated killing of gram-negative bacterium
GO:0070946	neutrophil-mediated killing of gram-positive bacterium
GO:0070947	neutrophil-mediated killing of fungus
GO:0070948	regulation of neutrophil mediated cytotoxicity
GO:0070951	regulation of neutrophil mediated killing of gram-negative bacterium
GO:0070963	positive regulation of neutrophil mediated killing of gram-negative bacterium
GO:0070965	positive regulation of neutrophil mediated killing of fungus
GO:0071346	cellular response to type II interferon
GO:0071385	cellular response to glucocorticoid stimulus
GO:0071386	cellular response to corticosterone stimulus
GO:0071387	cellular response to cortisol stimulus
GO:0071420	cellular response to histamine
GO:0071425	hematopoietic stem cell proliferation
GO:0071493	cellular response to UV-B
GO:0071593	lymphocyte aggregation
GO:0071604	transforming growth factor beta production
GO:0071608	macrophage inflammatory protein-1 alpha production
GO:0071609	chemokine (C-C motif) ligand 5 production
GO:0071637	regulation of monocyte chemotactic protein-1 production
GO:0071638	negative regulation of monocyte chemotactic protein-1 production
GO:0071639	positive regulation of monocyte chemotactic protein-1 production
GO:0071640	regulation of macrophage inflammatory protein 1 alpha production
GO:0071641	negative regulation of macrophage inflammatory protein 1 alpha production
GO:0071642	positive regulation of macrophage inflammatory protein 1 alpha production
GO:0071644	negative regulation of chemokine (C-C motif) ligand 4 production
GO:0071650	negative regulation of chemokine (C-C motif) ligand 5 production
GO:0071651	positive regulation of chemokine (C-C motif) ligand 5 production
GO:0071654	positive regulation of chemokine (C-C motif) ligand 1 production
GO:0071735	IgG immunoglobulin complex
GO:0071748	monomeric IgA immunoglobulin complex
GO:0071750	dimeric IgA immunoglobulin complex
GO:0071791	chemokine (C-C motif) ligand 5 binding
GO:0071847	TNFSF11-mediated signaling pathway
GO:0071887	leukocyte apoptotic process
GO:0071888	macrophage apoptotic process
GO:0072012	glomerulus vasculature development
GO:0072239	metanephric glomerulus vasculature development
GO:0072356	chromosome passenger complex localization to kinetochore
GO:0072538	T-helper 17 type immune response
GO:0072539	T-helper 17 cell differentiation
GO:0072540	T-helper 17 cell lineage commitment
GO:0072557	IPAF inflammasome complex
GO:0072558	NLRP1 inflammasome complex
GO:0072559	NLRP3 inflammasome complex
GO:0072560	type B pancreatic cell maturation
GO:0072672	neutrophil extravasation
GO:0072674	multinuclear osteoclast differentiation
GO:0072676	lymphocyte migration
GO:0072677	eosinophil migration
GO:0072678	T cell migration
GO:0072679	thymocyte migration
GO:0072683	T cell extravasation
GO:0072749	cellular response to cytochalasin B
GO:0072750	cellular response to leptomycin B
GO:0090022	regulation of neutrophil chemotaxis
GO:0090023	positive regulation of neutrophil chemotaxis
GO:0090024	negative regulation of neutrophil chemotaxis
GO:0090025	regulation of monocyte chemotaxis
GO:0090026	positive regulation of monocyte chemotaxis
GO:0090027	negative regulation of monocyte chemotaxis
GO:0090265	positive regulation of immune complex clearance by monocytes and macrophages
GO:0090594	inflammatory response to wounding
GO:0090717	adaptive immune memory response involving T cells and B cells
GO:0090721	primary adaptive immune response involving T cells and B cells
GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus
GO:0097012	response to granulocyte macrophage colony-stimulating factor
GO:0097021	lymphocyte migration into lymphoid organs
GO:0097022	lymphocyte migration into lymph node
GO:0097026	dendritic cell dendrite assembly
GO:0097028	dendritic cell differentiation
GO:0097029	mature conventional dendritic cell differentiation
GO:0097048	dendritic cell apoptotic process
GO:0097050	type B pancreatic cell apoptotic process
GO:0097057	TRAF2-GSTP1 complex
GO:0097101	blood vessel endothelial cell fate specification
GO:0097169	AIM2 inflammasome complex
GO:0097241	hematopoietic stem cell migration to bone marrow
GO:0097279	histamine secretion mediated by IgE immunoglobulin
GO:0097281	immune complex formation
GO:0097323	B cell adhesion
GO:0097350	neutrophil clearance
GO:0097452	GAIT complex
GO:0097529	myeloid leukocyte migration
GO:0097531	mast cell migration
GO:0097534	lymphoid lineage cell migration
GO:0097535	lymphoid lineage cell migration into thymus
GO:0097677	STAT family protein binding
GO:0097720	calcineurin-mediated signaling
GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential
GO:0106014	regulation of inflammatory response to wounding
GO:0106015	negative regulation of inflammatory response to wounding
GO:0106016	positive regulation of inflammatory response to wounding
GO:0106299	resolution phase response
GO:0120041	positive regulation of macrophage proliferation
GO:0120042	negative regulation of macrophage proliferation
GO:0120117	T cell meandering migration
GO:0140131	positive regulation of lymphocyte chemotaxis
GO:0140367	antibacterial innate immune response
GO:0140374	antiviral innate immune response
GO:0140375	immune receptor activity
GO:0140507	granzyme-mediated programmed cell death signaling pathway
GO:0140646	negative regulation of pre-B cell receptor expression
GO:0140738	NLRP6 inflammasome complex
GO:0140739	NLRP6 inflammasome complex assembly
GO:0150076	neuroinflammatory response
GO:0150102	negative regulation of monocyte activation
GO:0160006	Fc receptor-mediated immune complex endocytosis
GO:1900015	regulation of cytokine production involved in inflammatory response
GO:1900016	negative regulation of cytokine production involved in inflammatory response
GO:1900017	positive regulation of cytokine production involved in inflammatory response
GO:1900099	negative regulation of plasma cell differentiation
GO:1900100	positive regulation of plasma cell differentiation
GO:1900225	regulation of NLRP3 inflammasome complex assembly
GO:1900226	negative regulation of NLRP3 inflammasome complex assembly
GO:1900227	positive regulation of NLRP3 inflammasome complex assembly
GO:1900280	negative regulation of CD4-positive, alpha-beta T cell costimulation
GO:1900281	positive regulation of CD4-positive, alpha-beta T cell costimulation
GO:1900625	positive regulation of monocyte aggregation
GO:1901256	regulation of macrophage colony-stimulating factor production
GO:1901258	positive regulation of macrophage colony-stimulating factor production
GO:1901491	negative regulation of lymphangiogenesis
GO:1901492	positive regulation of lymphangiogenesis
GO:1901623	regulation of lymphocyte chemotaxis
GO:1901624	negative regulation of lymphocyte chemotaxis
GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway
GO:1902228	positive regulation of macrophage colony-stimulating factor signaling pathway
GO:1902232	regulation of positive thymic T cell selection
GO:1902233	negative regulation of positive thymic T cell selection
GO:1902482	regulatory T cell apoptotic process
GO:1902483	cytotoxic T cell pyroptotic process
GO:1902564	negative regulation of neutrophil activation
GO:1902565	positive regulation of neutrophil activation
GO:1902567	negative regulation of eosinophil activation
GO:1902622	regulation of neutrophil migration
GO:1902623	negative regulation of neutrophil migration
GO:1902624	positive regulation of neutrophil migration
GO:1903037	regulation of leukocyte cell-cell adhesion
GO:1903038	negative regulation of leukocyte cell-cell adhesion
GO:1903039	positive regulation of leukocyte cell-cell adhesion
GO:1903236	regulation of leukocyte tethering or rolling
GO:1903237	negative regulation of leukocyte tethering or rolling
GO:1903238	positive regulation of leukocyte tethering or rolling
GO:1903595	positive regulation of histamine secretion by mast cell
GO:1903903	regulation of establishment of T cell polarity
GO:1903904	negative regulation of establishment of T cell polarity
GO:1903905	positive regulation of establishment of T cell polarity
GO:1903974	positive regulation of cellular response to macrophage colony-stimulating factor stimulus
GO:1904597	negative regulation of connective tissue replacement involved in inflammatory response wound healing
GO:1904691	negative regulation of type B pancreatic cell proliferation
GO:1904692	positive regulation of type B pancreatic cell proliferation
GO:1904784	NLRP1 inflammasome complex assembly
GO:1904864	negative regulation of beta-catenin-TCF complex assembly
GO:1904977	lymphatic endothelial cell migration
GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell
GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell
GO:1904997	regulation of leukocyte adhesion to arterial endothelial cell
GO:1904998	negative regulation of leukocyte adhesion to arterial endothelial cell
GO:1904999	positive regulation of leukocyte adhesion to arterial endothelial cell
GO:1905025	negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential
GO:1905035	negative regulation of antifungal innate immune response
GO:1905036	positive regulation of antifungal innate immune response
GO:1905403	negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process
GO:1905404	positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process
GO:1905456	regulation of lymphoid progenitor cell differentiation
GO:1905457	negative regulation of lymphoid progenitor cell differentiation
GO:1905458	positive regulation of lymphoid progenitor cell differentiation
GO:1905517	macrophage migration
GO:1905521	regulation of macrophage migration
GO:1905522	negative regulation of macrophage migration
GO:1905523	positive regulation of macrophage migration
GO:1905675	negative regulation of adaptive immune memory response
GO:1905676	positive regulation of adaptive immune memory response
GO:1990117	B cell receptor apoptotic signaling pathway
GO:1990231	STING complex
GO:1990266	neutrophil migration
GO:1990595	mast cell secretagogue receptor activity
GO:1990647	C/EBP complex
GO:1990682	CSF1-CSF1R complex
GO:1990724	galectin complex
GO:1990777	lipoprotein particle
GO:1990832	slow axonal transport
GO:1990907	beta-catenin-TCF complex
GO:1990959	eosinophil homeostasis
GO:1990960	basophil homeostasis
GO:2000074	regulation of type B pancreatic cell development
GO:2000077	negative regulation of type B pancreatic cell development
GO:2000078	positive regulation of type B pancreatic cell development
GO:2000080	negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
GO:2000081	positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
GO:2000107	negative regulation of leukocyte apoptotic process
GO:2000108	positive regulation of leukocyte apoptotic process
GO:2000109	regulation of macrophage apoptotic process
GO:2000110	negative regulation of macrophage apoptotic process
GO:2000111	positive regulation of macrophage apoptotic process
GO:2000176	positive regulation of pro-T cell differentiation
GO:2000316	regulation of T-helper 17 type immune response
GO:2000317	negative regulation of T-helper 17 type immune response
GO:2000318	positive regulation of T-helper 17 type immune response
GO:2000319	regulation of T-helper 17 cell differentiation
GO:2000320	negative regulation of T-helper 17 cell differentiation
GO:2000321	positive regulation of T-helper 17 cell differentiation
GO:2000329	negative regulation of T-helper 17 cell lineage commitment
GO:2000330	positive regulation of T-helper 17 cell lineage commitment
GO:2000389	regulation of neutrophil extravasation
GO:2000391	positive regulation of neutrophil extravasation
GO:2000399	negative regulation of thymocyte aggregation
GO:2000401	regulation of lymphocyte migration
GO:2000402	negative regulation of lymphocyte migration
GO:2000403	positive regulation of lymphocyte migration
GO:2000404	regulation of T cell migration
GO:2000405	negative regulation of T cell migration
GO:2000406	positive regulation of T cell migration
GO:2000408	negative regulation of T cell extravasation
GO:2000409	positive regulation of T cell extravasation
GO:2000410	regulation of thymocyte migration
GO:2000412	positive regulation of thymocyte migration
GO:2000415	positive regulation of fibronectin-dependent thymocyte migration
GO:2000417	negative regulation of eosinophil migration
GO:2000418	positive regulation of eosinophil migration
GO:2000420	negative regulation of eosinophil extravasation
GO:2000424	positive regulation of eosinophil chemotaxis
GO:2000429	negative regulation of neutrophil aggregation
GO:2000438	negative regulation of monocyte extravasation
GO:2000439	positive regulation of monocyte extravasation
GO:2000446	regulation of macrophage migration inhibitory factor signaling pathway
GO:2000448	positive regulation of macrophage migration inhibitory factor signaling pathway
GO:2000451	positive regulation of CD8-positive, alpha-beta T cell extravasation
GO:2000452	regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation
GO:2000454	positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation
GO:2000508	regulation of dendritic cell chemotaxis
GO:2000509	negative regulation of dendritic cell chemotaxis
GO:2000510	positive regulation of dendritic cell chemotaxis
GO:2000514	regulation of CD4-positive, alpha-beta T cell activation
GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation
GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation
GO:2000524	negative regulation of T cell costimulation
GO:2000525	positive regulation of T cell costimulation
GO:2000529	positive regulation of myeloid dendritic cell chemotaxis
GO:2000538	positive regulation of B cell chemotaxis
GO:2000547	regulation of dendritic cell dendrite assembly
GO:2000548	negative regulation of dendritic cell dendrite assembly
GO:2000549	positive regulation of dendritic cell dendrite assembly
GO:2000552	negative regulation of T-helper 2 cell cytokine production
GO:2000553	positive regulation of T-helper 2 cell cytokine production
GO:2000556	positive regulation of T-helper 1 cell cytokine production
GO:2000561	regulation of CD4-positive, alpha-beta T cell proliferation
GO:2000562	negative regulation of CD4-positive, alpha-beta T cell proliferation
GO:2000563	positive regulation of CD4-positive, alpha-beta T cell proliferation
GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation
GO:2000565	negative regulation of CD8-positive, alpha-beta T cell proliferation
GO:2000566	positive regulation of CD8-positive, alpha-beta T cell proliferation
GO:2000568	positive regulation of memory T cell activation
GO:2000570	positive regulation of T-helper 2 cell activation
GO:2000669	negative regulation of dendritic cell apoptotic process
GO:2000670	positive regulation of dendritic cell apoptotic process
GO:2000675	negative regulation of type B pancreatic cell apoptotic process
GO:2000676	positive regulation of type B pancreatic cell apoptotic process
GO:2000973	regulation of pro-B cell differentiation
GO:2000974	negative regulation of pro-B cell differentiation
GO:2000975	positive regulation of pro-B cell differentiation
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation
GO:2001186	negative regulation of CD8-positive, alpha-beta T cell activation
GO:2001189	negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:2001190	positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:2001198	regulation of dendritic cell differentiation
GO:2001199	negative regulation of dendritic cell differentiation
GO:2001200	positive regulation of dendritic cell differentiation
